"Name","Style","ABV","Ratings","Avg","Score","Reviews","pDev","State","Brewery","Beer_URL"
"Battlefield IPA","American IPA",6.5,127,3.86,86,19,12.69,"AL","Avondale Brewing Co.","/beer/profile/25916/73359/"
"Brothel Brown","Belgian Dark Ale",6.5,15,3.83,84,2,10.44,"AL","Avondale Brewing Co.","/beer/profile/25916/86441/"
"Long Branch Scottish Ale","Scottish Ale",5,29,3.72,84,6,12.1,"AL","Avondale Brewing Co.","/beer/profile/25916/86434/"
"Meredith Marzen","Märzen / Oktoberfest",5.5,18,3.72,84,5,10.75,"AL","Avondale Brewing Co.","/beer/profile/25916/86435/"
"Mill City White","Witbier",5,12,3.41,82,4,12.61,"AL","Avondale Brewing Co.","/beer/profile/25916/227429/"
"Miss Fancy's Tripel","Tripel",9.7,72,3.71,84,8,16.71,"AL","Avondale Brewing Co.","/beer/profile/25916/80772/"
"Mr. Todd's Double IPA","American Double / Imperial IPA",9,42,4.01,87,5,10.72,"AL","Avondale Brewing Co.","/beer/profile/25916/86322/"
"No Joka Mocha","American Stout",6.9,53,3.97,87,9,14.61,"AL","Avondale Brewing Co.","/beer/profile/25916/86432/"
"Pachyderm Pale Wheat","American Pale Wheat Ale",5.5,55,3.62,83,16,17.13,"AL","Avondale Brewing Co.","/beer/profile/25916/86433/"
"Peach Saison","Fruit / Vegetable Beer",7.2,18,3.56,83,4,17.98,"AL","Avondale Brewing Co.","/beer/profile/25916/89326/"
"Spring Street Saison","Saison / Farmhouse Ale",7.2,119,3.76,85,18,14.36,"AL","Avondale Brewing Co.","/beer/profile/25916/75501/"
"Strawberry Kolsch","Fruit / Vegetable Beer",4.5,17,3.89,85,2,12.08,"AL","Avondale Brewing Co.","/beer/profile/25916/86442/"
"Streetcar Kolsch","Kölsch",4.3,36,3.5,82,5,18.57,"AL","Avondale Brewing Co.","/beer/profile/25916/82899/"
"Vanillaphant Porter","American Porter",6.2,134,3.72,84,19,13.17,"AL","Avondale Brewing Co.","/beer/profile/25916/84938/"
"Biere De Garde","Bière de Garde",NA,13,3.52,83,3,8.24,"AL","Back Forty Beer Co.","/beer/profile/21868/99888/"
"Fence Post Session Ale","Kölsch",4.5,57,3.4,80,8,11.76,"AL","Back Forty Beer Co.","/beer/profile/21868/104036/"
"Freckle Belly IPA","American IPA",7.5,195,3.67,83,22,14.99,"AL","Back Forty Beer Co.","/beer/profile/21868/83407/"
"Kudzu Porter","American Porter",5.5,129,3.59,82,27,13.09,"AL","Back Forty Beer Co.","/beer/profile/21868/69831/"
"Naked Pig Pale Ale","American Pale Ale (APA)",6,283,3.5,80,55,14.57,"AL","Back Forty Beer Co.","/beer/profile/21868/55335/"
"Paw Paw's Peach Wheat","Fruit / Vegetable Beer",4.5,51,3.55,82,9,12.96,"AL","Back Forty Beer Co.","/beer/profile/21868/117220/"
"The Mandarin Chief","American Double / Imperial IPA",11,11,3.87,84,4,14.47,"AL","Back Forty Beer Co.","/beer/profile/21868/269162/"
"Trade Day Cuban Coffee Stout","American Stout",6.2,66,4.06,88,22,8.62,"AL","Back Forty Beer Co.","/beer/profile/21868/183777/"
"Truck Stop Honey Brown Ale","English Brown Ale",6,275,3.49,80,58,13.75,"AL","Back Forty Beer Co.","/beer/profile/21868/58014/"
"Firefox Pale Ale","American Pale Ale (APA)",6,12,3.62,83,1,7.73,"AL","Below the Radar Brewhouse","/beer/profile/31766/101996/"
"Root Of Evil IPA","American IPA",6.7,11,3.49,83,0,12.89,"AL","BJ's Restaraunt & Brewhouse","/beer/profile/41798/231913/"
"Apricot Wheat","American Pale Wheat Ale",4.6,11,3.25,82,1,20.31,"AL","Black Warrior Brewing Company","/beer/profile/33392/109470/"
"Crimson Ale","American Amber / Red Ale",5.2,13,3.54,83,3,9.6,"AL","Black Warrior Brewing Company","/beer/profile/33392/109373/"
"Lock 17 IPA","American IPA",6.2,10,3.47,83,0,15.27,"AL","Black Warrior Brewing Company","/beer/profile/33392/123318/"
"American Amber Ale","American Amber / Red Ale",5.5,29,3.31,81,11,15.41,"AL","Blue Pants Brewery","/beer/profile/23966/171673/"
"Black Chaps","Saison / Farmhouse Ale",5,10,3.6,83,1,10,"AL","Blue Pants Brewery","/beer/profile/23966/132896/"
"Bourbon Barrel Aged Wee Heavy Ale","Scotch Ale / Wee Heavy",13,61,3.28,79,12,28.35,"AL","Blue Pants Brewery","/beer/profile/23966/90662/"
"Brettanomyces Fermented IPA","American IPA",NA,12,4.41,87,3,9.3,"AL","Blue Pants Brewery","/beer/profile/23966/223016/"
"Brettanomyces Fermented Pinstripe Stout","American Double / Imperial Stout",8,11,3.3,82,6,30.61,"AL","Blue Pants Brewery","/beer/profile/23966/220010/"
"Candy Bar Pinstripe Stout","American Double / Imperial Stout",8,42,4.02,87,11,9.45,"AL","Blue Pants Brewery","/beer/profile/23966/179235/"
"Chocolate Oatmeal Porter","American Porter",6,90,4.01,88,17,9.73,"AL","Blue Pants Brewery","/beer/profile/23966/144970/"
"Coffee And Milk Pinstripe Stout","American Stout",8,12,3.96,85,6,3.03,"AL","Blue Pants Brewery","/beer/profile/23966/213856/"
"Double Stuff Pinstripe Stout","American Double / Imperial Stout",8,51,4.03,87,14,12.66,"AL","Blue Pants Brewery","/beer/profile/23966/155621/"
"Dry Hopped Pale Ale","American Pale Ale (APA)",6,36,3.69,84,12,14.91,"AL","Blue Pants Brewery","/beer/profile/23966/168122/"
"Highwater Hoppy Tripel","Tripel",9,33,3.83,85,6,13.58,"AL","Blue Pants Brewery","/beer/profile/23966/84074/"
"Hopbursted IPA","American IPA",6.9,46,4.12,88,9,10.44,"AL","Blue Pants Brewery","/beer/profile/23966/163099/"
"Imperial Stout","Russian Imperial Stout",13.5,12,3.93,85,4,7.89,"AL","Blue Pants Brewery","/beer/profile/23966/189168/"
"Knickerbocker Red","American Amber / Red Ale",7,54,3.54,82,12,13.56,"AL","Blue Pants Brewery","/beer/profile/23966/63638/"
"Oktoberfest","Märzen / Oktoberfest",6,33,3.87,85,9,9.82,"AL","Blue Pants Brewery","/beer/profile/23966/135600/"
"Peanut Butter Pinstripe Stout","American Double / Imperial Stout",8,56,3.92,86,15,11.73,"AL","Blue Pants Brewery","/beer/profile/23966/162828/"
"Pils","German Pilsener",5.6,69,3.95,87,20,12.41,"AL","Blue Pants Brewery","/beer/profile/23966/157956/"
"Pinstripe Stout","American Double / Imperial Stout",8,77,3.81,85,16,13.39,"AL","Blue Pants Brewery","/beer/profile/23966/63639/"
"Slip Rose Strawberry Saison","Saison / Farmhouse Ale",6.5,55,3.53,82,15,18.7,"AL","Blue Pants Brewery","/beer/profile/23966/83910/"
